시대,순서,왕명,즉위연도,퇴위연도,출생연도,사망연도,수명,사망원인
고려,1대,태조,918,943,877,943,66,병사
고려,2대,혜종,943,945,912,945,33,
고려,3대,정종,945,949,923,949,26,병사
고려,4대,광종,949,975,925,975,50,병사
고려,5대,경종,975,981,955,981,26,병사
고려,6대,성종,981,997,961,997,36,병사
고려,7대,목종,997,1009,980,1009,29,피살
고려,8대,현종,1009,1031,992,1031,39,
고려,9대,덕종,1031,1034,1016,1034,18,
고려,10대,정종,1034,1046,1018,1046,28,병사
고려,11대,문종,1046,1083,1019,1083,64,
고려,12대,순종,1083,1083,1047,1083,36,병사
고려,13대,선종,1083,1094,1049,1094,45,병사
고려,14대,헌종,1094,1095,1084,1097,13,
고려,15대,숙종,1095,1105,1054,1105,51,병사
고려,16대,예종,1105,1122,1079,1122,43,병사
고려,17대,인종,1122,1146,1109,1146,37,병사
고려,18대,의종,1146,1170,1127,1173,46,피살
고려,19대,명종,1170,1197,1131,1202,71,병사
고려,20대,신종,1197,1204,1144,1204,60,병사
고려,21대,희종,1204,1211,1181,1237,56,
고려,22대,강종,1211,1213,1152,1213,61,
고려,23대,고종,1213,1259,1192,1259,67,
고려,24대,원종,1259,1274,1219,1274,55,
고려,25대,충렬왕,1274,1298,1236,1308,72,
고려,26대,충선왕,1298,1313,1275,1325,50,
고려,27대,충숙왕,1313,1330,1294,1339,45,
고려,28대,충혜왕,1330,1344,1315,1344,29,
고려,29대,충목왕,1344,1348,1337,1348,11,
고려,30대,충정왕,1348,1351,1338,1352,14,피살
고려,31대,공민왕,1351,1374,1330,1374,44,피살
고려,32대,우왕,1374,1388,1365,1389,24,피살
고려,33대,창왕,1388,1389,1380,1389,9,피살
고려,34대,공양왕,1389,1392,1345,1394,49,피살
조선,1대,태조,1392,1398,1335,1408,73,병사
조선,2대,정종,1398,1400,1357,1419,62,
조선,3대,태종,1401,1418,1367,1422,55,병사
조선,4대,세종,1418,1450,1397,1450,53,병사
조선,5대,문종,1450,1452,1414,1452,38,병사
조선,6대,단종,1452,1455,1441,1457,16,피살
조선,7대,세조,1455,1468,1417,1468,51,병사
조선,8대,예종,1468,1469,1450,1469,19,병사
조선,9대,성종,1470,1494,1457,1494,37,병사
조선,10대,연산군,1494,1506,1476,1506,30,병사
조선,11대,중종,1506,1544,1488,1544,56,병사
조선,12대,인종,1544,1545,1515,1545,30,병사
조선,13대,명종,1545,1567,1534,1567,33,
조선,14대,선조,1567,1608,1552,1608,56,병사
조선,15대,광해군,1608,1623,1575,1641,66,
조선,16대,인조,1623,1649,1595,1649,54,병사
조선,17대,효종,1649,1659,1619,1659,40,
조선,18대,현종,1659,1674,1641,1674,33,병사
조선,19대,숙종,1674,1720,1661,1720,59,병사
조선,20대,경종,1720,1724,1688,1724,36,
조선,21대,영조,1724,1776,1694,1776,82,
조선,22대,정조,1776,1800,1752,1800,48,병사
조선,23대,순조,1800,1834,1790,1834,44,병사
조선,24대,헌종,1834,1849,1827,1849,22,병사
조선,25대,철종,1849,1863,1831,1863,32,병사
조선,26대,고종,1863,1907,1852,1919,67,
조선,27대,순종,1907,1910,1874,1926,52,병사
